City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Opuwo,NA,2021-07-29 21:52:59,-18.0607,13.84,59.29,26,8,8.63
92,Ploemeur,FR,2021-07-29 21:52:59,47.7333,-3.4333,65.82,86,90,11.5
93,Brookings,US,2021-07-29 21:53:00,44.3114,-96.7984,81.01,47,90,11.5
94,Evensk,RU,2021-07-29 21:53:00,61.95,159.2333,48.06,67,100,10.49
95,Butaritari,KI,2021-07-29 21:52:18,3.0707,172.7902,83.25,73,16,11.12
96,Birao,CF,2021-07-29 21:53:00,10.2849,22.7882,73.78,90,88,4.9
97,Ormara,PK,2021-07-29 21:53:01,25.2088,64.6357,81.82,84,100,13.44
98,Touros,BR,2021-07-29 21:53:01,-5.1989,-35.4608,79.7,79,100,15.03
99,Soe,ID,2021-07-29 21:53:01,-9.8607,124.284,61.21,80,2,3.42
100,Kununurra,AU,2021-07-29 21:53:01,-15.7667,128.7333,62.58,88,4,0.0
101,Jamestown,US,2021-07-29 21:48:43,42.097,-79.2353,78.44,69,20,12.66
102,Andenes,NO,2021-07-29 21:53:02,69.3143,16.1194,49.98,93,79,24.16
103,Hithadhoo,MV,2021-07-29 21:53:02,-0.6,73.0833,82.35,71,100,5.23
104,Alofi,NU,2021-07-29 21:53:02,-19.0595,-169.9187,76.89,73,40,14.97
105,Kavieng,PG,2021-07-29 21:53:03,-2.5744,150.7967,83.14,74,32,6.82
106,Iqaluit,CA,2021-07-29 21:52:17,63.7506,-68.5145,51.53,71,40,9.22
107,Dunedin,NZ,2021-07-29 21:53:03,-45.8742,170.5036,44.8,87,84,15.01
108,Asau,RO,2021-07-29 21:53:04,46.4333,26.4,69.76,82,0,3.58
109,Rach Gia,VN,2021-07-29 21:53:04,10.0167,105.0833,78.75,80,100,18.57
110,Katherine,AU,2021-07-29 21:53:04,-14.4667,132.2667,61.12,77,4,3.44
111,Hermanus,ZA,2021-07-29 21:51:52,-34.4187,19.2345,54.9,83,12,6.13
112,Cidreira,BR,2021-07-29 21:53:05,-30.1811,-50.2056,47.21,65,6,9.82
113,Jega,NG,2021-07-29 21:53:05,12.2175,4.3792,78.1,80,87,7.54
114,Cape Town,ZA,2021-07-29 21:53:05,-33.9258,18.4232,55.11,91,20,6.91
115,Hasaki,JP,2021-07-29 21:53:05,35.7333,140.8333,77.4,86,50,7.16
116,Thompson,CA,2021-07-29 21:52:16,55.7435,-97.8558,73.56,33,40,3.44
117,Yerbogachen,RU,2021-07-29 21:53:06,61.2767,108.0108,57.58,60,3,6.58
118,New Norfolk,AU,2021-07-29 21:53:06,-42.7826,147.0587,46.92,80,100,3.78
